Mixture	Astrocyte	Endothelial	Microglia	Excitatory	Inhibitory	Oligo	P-value	Correlation	RMSE
Microgl.f.1_PAG	0.231963293582179	0.120450543875621	0	0.166818448022661	0.306394105841496	0.174373608678043	0.2	0.03829583281732	1.0856218804644
Microgl.f.P1_SC	0.245033880089102	0.091782605452521	0.0719780948885671	0.137349475190453	0.110333269530728	0.34352267484863	0.13	0.0621433727104996	1.1644522357657
Microgl.f.P1_SS	0.181191053485327	0.0877717050537693	0	0.641420863701101	0	0.0896163777598031	0.39	0.0150472810507052	1.06643975083412
Microgl.f.13_PAG	0.302353285354837	0.0389926307875847	0	0.175951055323457	0.327487793778701	0.155215234755421	0.16	0.0441327059740626	1.08782388654777
Microgl.f.P13_SC	0.238257285461472	0.192589788957037	0.0143572767641123	0.236640954383012	0.0235248629097569	0.294629831524609	0.1	0.073544900821999	1.13351250488931
Microgl.f.P13_SS	0.149094580717881	0.0453256963465655	0	0.805579722935553	0	0	0.41	0.0113942499192332	1.05662598914593
Microgl.f.14_PAG	0.304807933691379	0.0547525486641395	0	0.336214723975263	0.149929373179343	0.154295420489875	0.2	0.038005399683361	1.09414260068343
Microgl.f.P14_SC	0.196149964802934	0.187993263320764	0.0649201642446392	0.215446564260022	0.0313155786234103	0.304174464748231	0.1	0.0728708574207395	1.13829720465039
Microgl.f.P14_SS	0.13341722127848	0.116576216103558	0.0375975034325137	0.668571421395496	0	0.0438376377899523	0.4	0.0134031476007794	1.05687315553958
Microgl.f.P15_SC	0.187671935066648	0.112929805121497	0.0871872451858133	0.22403376328918	0.039937415472359	0.348239835864503	0.09	0.074777995993355	1.15485429785442
Microgl.f.P15_SS	0.132747610392197	0.0250596682127883	0.0146553484111388	0.727093885909115	0	0.100443487074761	0.43	0.00782042021641792	1.06111955410287
Microgl.f.P2_SC	0.251173746569022	0.203204482260777	0.0222348613510208	0.164449083894107	0.065104942516863	0.293832883408211	0.12	0.0649611181615496	1.14335094001732
Microgl.f.P2_SS	0.953612002590828	0	0	0.0463879974091721	0	0	0	0.573504705908259	0.925580200504647
Microgl.f.3_PAG	0.283275755529423	0.0780073795026684	0.024461219675517	0.116949168218848	0.26296995503695	0.234336522036593	0.27	0.0318569779428636	1.12208544479532
Microgl.f.P3_SC	0.262575482302396	0.143678037682326	0.0267627710211914	0.108879790108851	0.109325060504095	0.348778858381141	0.11	0.0685118438469765	1.16632006435598
Microgl.f.P3_SS	0.120685128046104	0	0.122854261173198	0.559345133621925	0	0.197115477158774	0.4	0.0137237542870077	1.0958684741232
Microgl.f.A_PAG	0.937599409946557	0	0	0.0319083869951274	0	0.0304922030583161	0	0.400713902248441	1.08889079352019
Microgl.f.E_PAG	0.248838946051269	0.144769595696311	0.0359351780651509	0.341891262933841	0.0152817309500993	0.213283286303328	0.16	0.0418570108583214	1.11226532582515
Astrocytes.m.13_PAG	0.981684804549076	0	0	0.00236512066570224	0	0.0159500747852213	0	0.613856739769585	0.892697665685825
Astrocytes.m.13_SC	0.9212329569036	0	0	0.0114411669155067	0	0.0673258761808929	0	0.615549257450993	0.866825631753891
Astrocytes.m.13_SS	0.97811547880455	0	0	0.02188452119545	0	0	0	0.615382842398428	0.889476117060832
Astrocytes.m.14_PAG	0.9808305524159	0	0	0.00362045049107872	0	0.0155489970930211	0	0.606555000356502	0.900705082942816
Astrocytes.m.14_SC	0.926886799871106	0	0	0.0189512088244617	0	0.054161991304432	0	0.61927092050409	0.864273960269867
Astrocytes.m.14_SS	0.982684985323222	0	0	0.017315014676778	0	0	0	0.61472402606787	0.892254045291474
Astrocytes.m.15_PAG	0.970850325243361	0	0	0.00723519295361741	0	0.0219144818030213	0	0.612635693544512	0.889369287295319
Astrocytes.m.15_SC	0.905243553946118	0	0	0.014178325161299	0	0.0805781208925827	0	0.611621060349538	0.86576870160929
Astrocytes.m.15_SS	0.976419705162427	0	0	0.0235802948375728	0	0	0	0.609378215038126	0.895636175089256
Astrocytes.m.1_PAG	0.97273057186863	0	0	0.00689886280236367	0	0.0203705653290068	0	0.584103259205963	0.922355726022554
Astrocytes.m.1_SC	0.921681710759506	0.0108276908877962	0	0	0	0.0674905983526978	0	0.612327046357296	0.87154394873614
Astrocytes.m.1_SS	0.95709788135721	0	0	0.0429021186427904	0	0	0	0.558774037454133	0.942991608965389
Astrocytes.m.2_PAG	0.965862876583887	0	0	0	0	0.0341371234161126	0	0.628537827524996	0.868973531905715
Astrocytes.m.2_SC	0.943322157068156	0	0	0	0	0.0566778429318443	0	0.628833356222007	0.85997360303181
Astrocytes.m.2_SS	0.966065972362559	0	0	0.0339340276374406	0	0	0	0.597804795430218	0.904216525241636
Astrocytes.m.3_PAG	0.979355622577707	0	0	0.00492300944080782	0	0.015721367981485	0	0.594005426405607	0.91427296377893
